Ex3.a Ex3.b Ex3.c Ex4.a Ex4.b Ex4.c Ex4.d Ex5 Ex6 Ex7 Ex8 Ex9 Ex10 Ex11
107.254123665886 7.24358599588279 -7.47739956222414 0 57 12 2 18.6543837746212 25 2 0.0505230954615399 0.514441501768306 -2.06511096696342 -3.28269292368966
108.968155754633 7.15157760422001 -11.4767459053084 0 73 11 0 12.5078880097235 30 3 0.0770606934092939 0.396552013247274 1.24962601612239 2.68522219509276
104.607342938983 7.28386366194651 -7.75843695295613 0 60 18 4 3.23764215783132 19 1 0 0.0377937281504273 -2.14357806004706 -2.37506506476282
108.541774322386 7.94421551342888 -18.4555004375646 0 78 16 6 24.6813380393917 22 4 0.240073999855667 0.189490636079572 -1.98612133258501 -0.162799403589277
107.05543911268 7.7647691925979 30.5548968390628 0 57 15 5 18.1849108963143 25 3 0.00715352122206241 0.201766853947192 -5.50824524387754 2.87854743690275
109.06178277223 5.90559113937547 38.7837316478524 0 70 9 1 16.599587106418 19 1 0 0.363437551413663 -1.80321351068913 -1.09397426189646
105.86859334853 7.31022931257016 -15.4110946519089 1 59 15 9 6.17703208984727 31 1 0.163549463055097 0.447954762848094 -2.6255909655354 1.05825147428038
107.228764863469 7.42484835810368 13.1308533701379 1 67 14 5 11.394734360106 25 1 0 0.141169364657253 -1.72475141347182 -1.14490631567322
109.73494198756 6.00264733268896 21.661943615988 1 64 16 3 2.7565357837686 23 2 0 0.0108076928369701 -0.244305921838122 -1.4146963252677
106.05952456877 7.27168689776145 -13.2920225707391 0 53 9 29 1.37913873664356 36 1 0 0.310301956166513 -0.447950977500949 1.02064258352868
106.897668129519 7.47507521006793 30.6677737046407 1 53 17 12 7.58890952373191 27 1 0.0564980916213244 0.153739571771584 -0.342157155794187 -2.09905620613765
106.439144391712 7.75358856896688 -22.3790440178906 1 75 8 13 9.70146060972593 32 6 0 0.22710575833451 -1.97447777887082 3.18265537397134
107.0855328889 6.29165059055949 3.84674024772472 1 60 13 2 11.7601834472086 30 1 0 0.00759992629289627 -1.55891153124873 -0.823675916293462
102.911279030334 7.50504887311789 18.5131552376761 0 67 13 1 10.3370483999662 27 1 0 0.196415095804259 -4.06435339688591 -1.71167586594566
104.072226775259 7.08723782405964 -11.2938504404417 1 45 14 3 9.2610372664419 30 1 0 0.0566830570157617 -4.69011769310172 3.4233151419842
108.446411364375 6.56594193319901 19.2238146744867 0 57 17 1 11.9308030972374 22 1 0 0.0743401822401211 -0.0406903380207995 4.31016463525883
109.801263285045 6.84336618645838 -3.34295616238031 1 70 14 3 8.7930799399558 22 2 0 0.125947671923786 -1.75555109880718 4.7486780671172
108.632177923925 7.55001844241795 -2.74509211415848 1 72 23 4 12.2678328188046 23 1 0 0.364891634234227 -1.4691663246128 -0.0824654945155439
105.243141230567 7.0948416221178 14.5267963085004 0 53 13 0 10.6729882551399 26 5 0 0.0924843988195062 -3.44642833189581 -1.7197136954236
105.559331990885 8.18657116209932 41.5534804011438 1 79 16 25 19.1306977548013 27 3 0 0.238759199101478 -1.89911050682478 -1.84133284335452
107.029971968362 8.9963352500459 -7.7349933398264 0 53 13 2 4.3988273148823 25 1 0.207847946556285 0.324125658133999 -2.8453626194645 -2.29273346816189
104.202935800105 8.24655697476249 -17.8434713323748 1 55 18 9 17.2238986867894 22 1 0.199810982588679 0.099870277014561 -0.869227051369985 2.68142053239397
109.299239355409 8.36049166070095 17.4975374884142 0 58 21 18 5.25300713623958 33 1 0 0.264925929545425 -0.755380745044333 -0.239594413446679
106.29698088765 7.17144317992735 14.3270769427114 0 54 14 10 6.43646931709016 29 2 0 0.217652303860523 -3.34573300098872 3.93506369876478
104.453554984689 6.22533830092078 28.8252255053464 1 72 12 1 5.29124323895569 22 4 0 0.147878043493256 -2.21302731779505 2.50461226047174
106.325909398586 8.52383634168839 -18.8870787717281 0 69 11 8 8.61930125783312 20 1 0 0.0702949211932719 -4.43567893746723 3.03058706274116
110.833140069489 6.34817981944804 -15.5528705977884 0 72 14 3 5.06790752777222 23 1 0 0.192133038723841 -3.28412043962842 -1.22250174748139
111.440469313895 8.19988327654761 74.3693252205458 0 59 15 2 8.83965282320519 21 2 0 0.578795905970037 -2.12079256098459 -1.81955302559682
106.893315397033 9.26797113231587 -15.3139051940416 0 50 16 1 12.2543431848336 27 2 0.00330955758690834 0.13504920615349 -6.6132003199762 -1.47000052265664
108.636243749382 7.06681413260743 12.9854154115923 1 60 10 8 9.75664604081806 30 1 0 0.0448720284551382 -2.38513606578628 4.0446590718311
112.047251338138 7.60275195882042 -5.5631569658644 1 65 15 16 17.0662369008211 22 2 0 0.24627235443797 1.3662380892196 2.8959590267497
107.952601016532 7.54767625505888 12.9667758011014 1 46 17 3 12.0360336322001 27 2 0.121747914562002 0.217172554489225 -2.45089641143813 3.67333663810911
112.382870557523 7.30029510283573 2.584319329122 1 57 6 11 0.334630821795401 25 1 0 0.395442307102494 -4.60143569545126 -0.93437948074199
102.077905297039 7.14643099958241 -20.8372752859915 1 74 12 0 14.3306367450549 25 1 0 0.27927309110295 -5.23919483872372 -3.45456779731656
107.189067112859 7.90001866836193 -14.9970368238356 1 55 19 3 8.71358037134748 26 3 0 0.322217820100486 -2.01613864707117 -2.55036204025022
108.709467003043 8.25938808126049 10.6967714410232 1 64 21 9 10.5647363071081 21 3 0 0.175540061560459 -4.82229281807305 0.46486545887389
108.961295631241 6.82573527698454 -28.1349913212452 0 65 12 8 9.98180213100742 26 1 0 0.200486475387588 -0.527690132545214 -3.22095665075354
105.927859724636 8.99020600331537 -27.8955564341787 0 67 10 2 12.9183969182667 20 2 0 0.4032921637455 -1.34843577039273 3.33345894749609
102.324510860445 8.84983334542127 33.8759738899639 0 56 15 23 5.56676871550201 27 1 0 0.225198756158352 -2.15467194041906 4.64741376647258
107.416613920832 7.24898286333606 8.66081622504594 0 56 14 1 11.0620508046532 21 1 0.23265356796328 0.0368403237685561 -5.93966125048744 2.89223712904468
103.779760918746 8.47840839249349 11.3971474451736 0 56 14 0 10.5055713324555 18 1 0 0.102110707135871 -1.98350795678458 -0.585959769266585
108.223688898512 6.54565357469606 21.5507881732186 1 54 15 0 18.3752589869781 19 1 0.137082613538951 0.382156573492102 -4.04636969166661 1.56382386354227
107.420112215809 7.84501785912822 -19.9946117505679 1 68 12 1 13.9999586577707 30 4 0 0.196258553219959 -3.7444283719148 0.827558358374687
104.774681737974 6.88571187119991 35.8232199072543 1 65 12 13 15.2983785306354 23 2 0 0.31253334145993 -5.01492017800337 -2.02462695859902
107.518784215895 7.48248436843601 34.3562112570956 1 59 14 6 12.4839360139177 30 1 0 0.38256822951138 -3.58715748055752 0.361075817485265
107.099511357546 7.01495284991377 4.66201807331575 0 79 11 6 14.4820860059365 25 1 0.140262258262374 0.0529790482064709 -2.15704163328391 2.67010916732132
104.919269401154 7.49529613571108 -22.088294736982 1 55 9 18 3.6072590672039 26 1 0 0.3408972931467 -2.06154888264302 3.11713589992309
109.264199812157 7.61359567924292 16.9549281160685 0 63 18 1 11.031772527107 19 1 0 0.506605382552371 -2.6917980879505 -3.03449528081787
105.349621848687 7.39103208267709 2.64465376262545 1 69 17 10 14.0494534785965 24 1 0 0.407545792534947 -7.62507306682557 -1.28686445028706
107.88674592811 6.64259573298802 -50.5671890711768 1 54 11 22 1.98674965116814 24 3 0 0.571412214506418 -3.98948674598294 -2.70448442611288
109.071164634233 8.0507413018739 -14.6179419568502 0 65 17 0 5.99672400338603 25 1 0 0.503863897081465 -1.27583306198124 -0.42033225854714
