Ex3a Ex3b Ex3c Ex3d Ex4a Ex4b Ex4c Ex5 Ex6 Ex7 Ex8 Ex9
0 29 2 1.2803535515392 28.1279074342223 0.0900919559256484 1.2803535515392 0.170767970993184 0.00314923897385597 0 0.949624947272241 1.65157561174902
1 29 0 1.57464080426167 12.0156361190835 0.0950747175763051 1.57464080426167 0.528828561147675 0.234222780098207 0 0.779500070260838 -1.05304530008756
1 22 0 -1.72282201516434 29.8464300040156 0.254565003160153 -1.72282201516434 0.361977534047328 0.709376905858517 0 0.74415484094061 0.563456725609991
0 26 1 0.604307078415806 35.9353976675076 0.0596241606399417 0.604307078415806 0.215866674478166 0.550288139097393 1 0.859219009289518 0.556272567676929
0 22 0 -1.09766371953229 19.2545758089982 0.0603094678372145 -1.09766371953229 0 0.160730101168156 0 0.829156836494803 1.31950613726683
0 24 3 0.478195833075981 8.80276787348557 0.0916398935951293 0.478195833075981 0 0.606918100081384 0.473643867298961 0.80959993111901 1.71913090657669
1 22 2 0.235890297046761 12.1387258017669 0.0632176379828403 0.235890297046761 0 0.27051868326962 0.38802349823527 0.72032656497322 -0.0200355320071343
0 17 0 0.582663668296709 37.1507662410382 0.667804400633039 0.582663668296709 0.34009781813249 0.408013022132218 1 0.776968661928549 -0.0407417885609567
1 19 0 -0.248389145213276 0.860260674147867 0.0327520801996191 -0.248389145213276 0 0.00719230065587908 0 0.72667682194151 -1.1483295973868
1 19 1 -0.870696818289607 3.93318146269303 0.155011479580603 -0.870696818289607 0.509498736001551 0.313278323598206 0.508435523835942 0.937238909304142 -0.141700070709598
0 18 1 -1.00793094496808 23.3512074278668 0.0114850682051231 -1.00793094496808 0 0.294967603613622 0.844799593091011 0.768108663614839 -2.09585643906001
1 23 0 -2.13552014733907 21.4207708467264 1.07630602233019 -2.13552014733907 0 0.0179437325103208 0 0.823487826623023 -1.01805549336603
1 31 1 -0.363436545539296 22.3567183493637 0.271647440255586 -0.363436545539296 0 0.618350344151259 1 0.83218349236995 1.09641828176037
1 38 0 -0.033341232024334 30.8731054717442 0.102840192538376 -0.033341232024334 0.162853583185934 0.221812892798334 0.745477006072178 0.755403929390013 0.253567340445073
1 24 1 2.67027951456423 10.6224964874331 0.0235538897104561 2.67027951456423 0.475153775834478 0.64150695130229 0.873493715422228 0.742522026412189 -0.786513788873796
1 22 1 0.137127360705124 11.9703324079746 0.163791556994278 0.137127360705124 0.092281605778262 0.0408528712112457 0.673205908387899 0.911173908272758 -1.09285304787576
1 19 0 1.20559759017982 29.9764917160617 0.346035260693137 1.20559759017982 0 0.681274800933898 0.594226659741253 0.664860084652901 -0.716226255790088
1 19 0 0.582204467027159 0.355553744407371 0.133709817652108 0.582204467027159 0 0.215168329514563 1 0.72983741434291 -1.54384131401894
0 18 1 -3.63919670586821 19.3418617994757 0.0245538904176404 -3.63919670586821 0.0781217478355393 0.181039065495133 0 0.884011631598696 -0.903560930626727
1 30 2 -0.810461616282079 25.9612488226732 0.140150266847712 -0.810461616282079 0 0.553614941798151 0.0334937674924731 0.764757187804207 1.10526670791653
1 21 0 -1.57765256249969 29.7684491543332 0.0978671601042151 -1.57765256249969 0.304503802047111 0.626696092449129 0 0.810100798029453 -0.240242354530845
0 22 1 -0.143889957991144 24.0584584320895 0.172254822675588 -0.143889957991144 0.382333231572993 0.405658056028187 0 0.953963310923427 -0.687809590675358
0 23 0 0.335665067566234 34.0534262356116 0.115525674615259 0.335665067566234 0 0.0012863043230027 1 0.985601044492796 -1.22633966420952
0 18 0 -1.00375560960678 4.17900679749437 0.330380654258931 -1.00375560960678 0.217395813786425 0.149246552051045 1 0.994127322686836 -1.72620242989978
0 26 0 -1.0837709505443 8.06556128577795 0.0591199856717139 -1.0837709505443 0 0.576712766103446 0.331756236031651 0.70964768435806 0.691881957499309
1 18 3 2.13749649890178 19.7220582933398 0.306165867471103 2.13749649890178 0 0.191826538788155 1 0.826461269054562 -0.105575888310667
0 28 0 -0.586493800941045 22.5847322891234 0.666136695347488 -0.586493800941045 0.131477228091098 0.111144290305674 1 0.740000115940347 2.21140601687661
0 28 0 2.37946760999688 3.47591757734772 0.166539986455641 2.37946760999688 0.00540298178326339 0.058677953411825 1 0.862089715432376 -2.85079336024992
1 24 1 0.863650659459159 1.61557447267696 0.202386189400357 0.863650659459159 0.463695185626857 0.705983687378466 0.177152000134811 0.796420187223703 0.109519148194843
1 17 0 3.1144301049186 17.8870597969508 0.415698584458586 3.1144301049186 0 0.0333116492256522 1 0.894672243157402 0.928114253024049
1 16 4 -0.513313020088348 32.1885592653183 0.227202665674639 -0.513313020088348 0.115096585093997 0.00600242950022221 1 0.909683459205553 -0.506379339238929
0 22 3 2.27296794391746 31.5894243670162 0.344203307279352 2.27296794391746 0.491190588432364 0.17594405207783 1 0.920089013874531 2.27674930551164
1 14 0 -0.366220232567808 11.8675277310889 0.368390289735154 -0.366220232567808 0.323746286765672 0.659160343185067 0.909604201093316 0.75414255191572 -0.768055790543522
1 20 4 -2.03039538841276 32.2175031612394 0.0252390700237205 -2.03039538841276 0.554795969799161 0.321154451556504 1 0.903042464749888 -1.23817738289878
0 20 1 -3.78690844731921 4.18031425462104 0.802745226107748 -3.78690844731921 0.172819944918156 0.703569751977921 0 0.778946239734069 0.828776103316574
1 27 5 2.43311356306199 1.7344191808952 0.164372574996652 2.43311356306199 0.391248496472836 0.0983574248151854 1 0.977357247378677 0.64646795787201
1 20 1 -0.0578758367856461 10.7810277530458 0.0172927135912081 -0.0578758367856461 0.293036959706806 0.456857156194747 0 0.990590513683856 -2.54298411123364
1 21 2 -1.31413548007785 27.7125038803788 0.197375797814828 -1.31413548007785 0.0746286511840299 0.442938383668661 1 0.71680052112788 2.37286290009917
0 25 2 1.02048567133851 4.47831529807299 0.282306875870466 1.02048567133851 0 0.0747130000032484 1 0.959489877801389 0.0942242483383863
1 25 2 0.754062388233406 10.9620505663333 0.181011261499536 0.754062388233406 0.10365264300257 0.263418743573129 0 0.607723785098642 0.542878884690774
1 21 1 0.517455678880653 24.1265872473596 0.813090447053917 0.517455678880653 0 0.363008917495608 1 0.57665614085272 1.81862308570292
0 16 0 -0.257996949045061 31.2725340121659 0.274874575422112 -0.257996949045061 0.487832185011357 0.00588957730215043 1 0.923365943832323 0.629839450049812
0 35 0 0.846969962128245 18.2504360537976 0.132918407202216 0.846969962128245 0.29739087946713 0.266608787071891 0 0.98427716945298 1.32442226287498
1 25 2 0.657155445767544 36.407853069948 0.0441944216541426 0.657155445767544 0 0.205977310286835 1 0.843494169414043 1.18581857538456
1 22 1 -0.0625083331996359 33.1622472895542 0.0961024952897181 -0.0625083331996359 0 0.0215262307086959 1 0.571667560609058 -2.04769300216712
1 22 0 4.81987358913802 12.5455687965266 0.70300827753793 4.81987358913802 0.243678394001909 0.2475042572245 1 0.864498130511492 1.25133027896039
0 21 0 0.306863492319385 1.20363788753748 0.404779812482931 0.306863492319385 0.224679926931858 0.427299433387816 0 0.964369451161474 2.22243678795219
1 21 5 -0.255233524286105 12.8601472165203 0.0160957741706322 -0.255233524286105 0 0.416191744245589 0.698423059890047 0.77949069137685 2.55979547811256
1 26 1 -2.48913330564661 11.1435331729008 0.55623762430927 -2.48913330564661 0.34827226344496 0.247975629894063 0 0.950771318050101 -1.03718455629063
1 20 0 1.9270864294468 22.9630626931554 0.0913814146382113 1.9270864294468 0 0.532834860868752 1 0.717662895796821 0.810217368167646
1 28 0 0.468641220420123 16.0316164120799 0.4108323805445 0.468641220420123 0.432528107198887 0.107136304490268 0.203010400524363 0.97795599210076 -0.752100018266468
1 25 4 -2.09774123919348 22.9667847513221 0.149085688821271 -2.09774123919348 0.276276635825634 0.106395097472705 0.347122011007741 0.875382866244763 0.200611449087534
0 23 1 1.72997397009901 37.3206790425815 0.988336838725821 1.72997397009901 0 0.70384727306664 0.175347780808806 0.89295805268921 0.530604126223166
1 17 2 -1.2430858776053 5.89224650028627 0.204922532500527 -1.2430858776053 0.387283944548108 0.294403253425844 0.280243860557675 0.631972182542086 1.78644266836449
1 23 1 -1.41993989204587 6.98598688913044 0.384507356610058 -1.41993989204587 0 0.264792714407667 0 0.97213944233954 -2.2664479361822
1 35 0 1.10163570692077 23.1623289369047 0.180069705774836 1.10163570692077 0.452624866040424 0.313698769174516 1 0.991622786270455 0.819300699739971
1 26 1 1.956974890507 14.6499983165413 0.119811540440918 1.956974890507 0.334538546293043 0.249232438998297 0 0.834427442634478 -2.16992158640379
1 15 1 -1.72760481443507 8.73602636887226 0.474622747522402 -1.72760481443507 0.341917691845447 0.355639604479075 1 0.902646739268675 0.692764943807175
1 34 1 -1.85810630728031 16.5824403406586 0.0764106449932335 -1.85810630728031 0.0548693886073306 0.215917991031893 0 0.654455386567861 0.925092684922445
0 28 1 1.55636925678183 10.0265446475241 0.16616015427033 1.55636925678183 0 0.17998458892107 0.907040517777205 0.851191664580256 0.919459560894041
1 18 0 0.0570279847618447 15.5372375044273 0.00866126695958276 0.0570279847618447 0 0.249729494564235 0.230041061295196 0.960787895368412 0.167741525858405
1 24 0 -0.458776944971013 5.74462687431369 0.13715848175443 -0.458776944971013 0.388216145606712 0.218825694266707 0 0.883540422655642 2.55505407840231
0 25 0 4.33577141337078 4.14796550548635 0.254602261221051 4.33577141337078 0.348985084281303 0.366253367811441 0 0.676722889300436 -0.643528371588117
1 29 2 0.706662590275145 2.43250310339499 0.0750756774408122 0.706662590275145 0 0.104805798083544 1 0.747840681346133 -2.36391452423278
1 14 1 -0.702517331821031 5.64462799665052 0.00307434067750971 -0.702517331821031 0.531410530414432 0.0469277148367837 0 0.904114097822458 -0.921952578368513
1 21 0 -2.2107655746065 9.93557561517228 0.0106889128475084 -2.2107655746065 0.00640567680820823 0.294915804988705 0.847863661358133 0.989111665869132 -0.97539628449906
1 16 1 -2.34398390862584 9.71851299686823 0.0313458497914499 -2.34398390862584 0 0.0977918120101094 0.873590773437172 0.970817245543003 -0.156473555142682
0 20 0 1.53492748208137 29.2641049993923 0.185233603845489 1.53492748208137 0.0494801340904087 0.0629103509709239 0.319526556879282 0.97408150555566 0.694211197349496
1 23 3 1.38154881418725 28.6768594958587 0.142688845122061 1.38154881418725 0 0.101402245648205 0 0.801046675769612 1.4642580345437
1 26 0 -0.620322608976307 30.1388254479738 0.307140658696111 -0.620322608976307 0.251076721968129 0.138297670148313 0 0.819077932275832 0.427039454716446
0 21 0 -1.30191457397138 16.2830112417461 0.108748703651751 -1.30191457397138 0.159119250341319 0.0457502882927656 0.655120297567919 0.883914819918573 0.128885135549704
0 25 2 1.53029901456618 1.21354338563979 0.150966274079384 1.53029901456618 0 0.52957630418241 0 0.752334265969694 1.80023530704448
1 24 3 0.771928378070935 3.35686545700301 0.00819449360652578 0.771928378070935 0 0.7800472099334 0 0.723632916342467 -0.660968990592994
1 22 0 -0.784272591757897 8.39663547254167 0.0135711757466197 -0.784272591757897 0.0952140170894563 0.383023382723331 0 0.865992555161938 -0.405234049442477
0 22 1 0.639784725729041 11.0458733316744 0.0726701526436955 0.639784725729041 0 0.129641691944562 1 0.786337662022561 -1.73417080753706
1 20 0 1.82690036917847 9.67434926214628 0.0136765049149593 1.82690036917847 0.512114067878574 0.118578485632315 0 0.992240131599829 0.0386256878240746
0 22 5 -1.94296775583696 33.8034174964763 0.0658165239728987 -1.94296775583696 0 0.230753162386827 0 0.45825373660773 -1.22067105734683
1 23 0 1.18404801365472 39.1463838414755 0.0596605271783309 1.18404801365472 0 0.795092345960438 1 0.985927993431687 1.08899481474351
1 26 2 -0.156130518215251 27.2179673546692 0.24933606209988 -0.156130518215251 0 0.180624939431436 0 0.982645560987294 -1.37575582114785
0 18 1 -0.454113668433941 5.42440878374036 0.129539312569491 -0.454113668433941 0.18572422969155 0.0723620666190982 0.0317819993942976 0.973112597130239 -1.39861859075697
1 27 0 -0.958785096202903 27.2611918698996 0.0785633931712558 -0.958785096202903 0.0586970663769171 0.36661278642714 0.199466793332249 0.835255046142265 -0.216244620015626
1 24 1 -2.32356344337679 19.538055230584 0.0690507559726636 -2.32356344337679 0.129074056157842 0.471978098526597 0 0.973287701141089 -0.642044553660264
0 16 0 -2.54979551166426 4.70562364468351 0.0193431590062877 -2.54979551166426 0 0.743460980989039 1 0.954870370682329 -2.04219121364698
1 19 2 -2.16245599143519 29.2545560183236 0.0933852277230471 -2.16245599143519 0 0.0991279151290655 0.358601578045636 0.91062224120833 0.976773121338314
0 26 1 -0.229202400264196 35.6628335459391 0.00431863319439193 -0.229202400264196 0 0.389897792041302 1 0.825506294611841 1.4106886287838
1 19 0 1.92332288857945 21.4212212579791 0.141571097567763 1.92332288857945 0 0.505459529720247 0.913833439582959 0.770726158283651 -1.25442898103529
1 21 1 3.32516338663332 15.6941198348533 0.363615690404592 3.32516338663332 0.310783335929737 0.116150922328234 1 0.510574136395007 0.384649102608022
1 24 0 1.63437960478888 9.21126625530887 0.174451164716861 1.63437960478888 0.0809100645780563 0.544281824864447 1 0.775933580007404 -1.02509744074494
1 17 2 -2.48338148930003 37.7579738792265 0.0324260359629989 -2.48338148930003 0.320930644185282 0.124140788428485 1 0.971663201227784 -3.55987754335879
0 24 0 3.55853692720635 21.5408524851082 0.00966673507355154 3.55853692720635 0.544443230191246 0.456006228551269 0.932572304969653 0.930964347207919 -0.759893812216484
1 27 0 -1.16307014771666 37.1165151310619 0.0455478486449768 -1.16307014771666 0.347640608926304 0.0480428630486131 0.134662403259426 0.9595588138327 -1.54098507335399
0 20 1 -0.770633144509175 32.5125287432922 0.0670119980350137 -0.770633144509175 0.508024332770146 0.345497713238001 1 0.509241472696885 0.571250037543789
1 26 0 1.81991172597418 1.80582371940836 0.378459887331458 1.81991172597418 0 0.144567919475958 1 0.782089116983116 1.46156020844088
1 22 0 1.47768294965919 33.1354956637369 0.0296474612162759 1.47768294965919 0.197169456570409 0.00698708673007786 1 0.934053279692307 0.750065891787291
1 27 0 -0.0616889117112807 36.7926740528317 0.0184768544349906 -0.0616889117112807 0 0.116805043118075 0.215686114737764 0.382709559518844 0.0760827928331815
1 20 1 3.01626132198338 16.5622202233644 0.26636432109863 3.01626132198338 0 0.157816027197987 0.940273130778223 0.831787139177322 0.712027890316643
1 20 0 1.04681913789649 17.150735609699 0.0626402816269547 1.04681913789649 0.398373291655444 0.110844523832202 0.858311734162271 0.861698742257431 2.47585177648004
1 24 2 0.502251710600681 10.1798788801301 0.0530653833754406 0.502251710600681 0.323061036868021 0.0066386878490448 1 0.940617852611467 0.0967371464694803
1 20 2 0.0103505997007945 21.2870876814239 0.158402585590711 0.0103505997007945 0 0.0563747394829988 1 0.796441971557215 -0.55761951739761
0 18 2 1.33459022719138 15.2978879128583 0.0173347268719226 1.33459022719138 0 0.79768450204283 0.398602672619745 0.982160567073151 1.76512454135
1 23 0 -1.14833145858222 8.1815138339065 0.0402230387553573 -1.14833145858222 0 0.169648848334327 1 0.750190584454685 -0.0887467116513393
1 18 0 -0.685966440502588 24.5666344565107 0.0386518162364761 -0.685966440502588 0.555847513889894 0.133063513785601 1 0.684199223062024 1.20875638385995
1 14 3 4.95796991998476 37.7141437102342 0.0983172667198302 4.95796991998476 0 0.267062280932441 0.802610375452787 0.783297684742138 1.20305404424854
0 20 3 0.153443843186117 6.7196776865283 0.280636447467808 0.153443843186117 0.539750115340576 0.12582714271266 0 0.795696095330641 1.32443538697007
1 15 0 -0.708065142676645 11.4737125730841 0.188344253829197 -0.708065142676645 0 0.732080208696425 0.5 0.61276174383238 -0.780743835247689
1 23 1 -0.620945476819955 15.449450754025 0.153166060173712 -0.620945476819955 0 0.129516594111919 1 0.823922915849835 -0.0517327724392345
1 23 3 1.58210169030089 29.7874738349812 0.0118254622649576 1.58210169030089 0.42060501920525 0.036738376901485 0 0.894095866242424 2.29885054502937
1 17 0 1.47719681238929 33.7583331953967 0.0594944213281848 1.47719681238929 0 0.605131904780865 0.135751962894574 0.968906866852194 -0.0516510090488045
1 20 1 -0.079182429041326 0.52220216433052 0.207433442112507 -0.079182429041326 0.454623651332222 0.228465691022575 0.417149000801146 0.953886327333748 1.04120825472311
0 21 0 -2.98134093725169 11.8258210337488 0.126334722767723 -2.98134093725169 0.456977475625463 0.296286751586013 0 0.701733584981412 1.41772779040226
1 23 1 0.825495419007583 14.5280291159637 0.271401162256019 0.825495419007583 0 0.149388475622982 0 0.57484693150036 1.27890143411518
0 17 0 -0.670177445609385 12.7191247825045 0.0165694259067352 -0.670177445609385 0.577834456078708 0.522569841332734 1 0.815506964921951 -2.50049671644218
1 19 1 2.23251224563937 21.65727052968 0.071870226568232 2.23251224563937 0 0.0557772278785706 1 0.861553508089855 -0.910364434472211
0 20 0 0.515385372557758 36.4079815436387 0.132969533551933 0.515385372557758 0.373298760708421 0.221951358276419 0 0.756219899980351 -0.388433444706591
1 25 3 2.19107135045846 3.48381963828579 0.185795616832314 2.19107135045846 0.147337116654962 0.782465123943985 1 0.68658415437676 0.45970142315035
1 18 1 2.139407898159 12.1057875562925 0.0294817706259588 2.139407898159 0 0.0473912099376321 0.630898245843127 0.374490867136046 -0.786541699757535
0 23 0 0.496310953050989 4.30705915661529 0.034103094600141 0.496310953050989 0.535723009770736 0.286755212908611 0.557549434481189 0.906875750049949 -1.72094733981934
0 27 0 0.19290531399124 17.2209478820441 0.0397679771607121 0.19290531399124 0.542164526665583 0.0673981237923726 0.5 0.757983449846506 0.419482756535996
1 25 0 2.71804901391951 32.6882433442399 0.424482471288598 2.71804901391951 0 0.0809997548349202 1 0.959049012744799 -0.96725359695214
1 20 0 0.881181436940246 20.802590396232 0.122477850705656 0.881181436940246 0 0.610353326238692 0.219924696953967 0.934045210015029 -1.23972520747076
1 18 1 -1.82811941055862 1.48804872720502 0.0537761727658411 -1.82811941055862 0 0.0777976751094684 1 0.755829530069605 0.973918278724292
1 16 3 -0.295123064937619 39.5009060990065 0.31331506804715 -0.295123064937619 0 0.614438925497234 1 0.708701090421528 -1.59079627096936
1 17 0 -1.72802219821792 35.4059192650486 0.172046990429284 -1.72802219821792 0 0.668198580294848 0.624225033679977 0.799747690325603 0.82931762146649
1 22 2 0.0158278235215388 36.152761416533 0.0578539572500934 0.0158278235215388 0 0.313836127892137 1 0.928055686177686 1.00232974535151
1 21 0 0.726794810416487 20.2114746354753 0.0792548013074944 0.726794810416487 0.0226119060628116 0.587558597698808 1 0.9268141775392 1.36627902844181
1 14 1 4.42456593624541 12.173667817167 0.0163383271825112 4.42456593624541 0.495275540091097 0.750376491062343 0 0.566506352042779 -0.441798453569038
1 27 1 -2.18775398753754 28.3343770043459 0.35452111431107 -2.18775398753754 0 0.0934072185307741 0.344971836777404 0.892470223363489 -0.952187189133856
1 23 0 0.159366718421072 34.2048982236302 0.0305838778149337 0.159366718421072 0 0.0838591093197465 0 0.866380566265434 -1.22803922443048
0 23 0 0.847229778010268 11.5181198707782 0.276671155962749 0.847229778010268 0.456518615833484 0.193916408484802 1 0.994137077359483 1.52505893199813
1 25 1 0.468249262435952 33.0252118103905 0.133351630514674 0.468249262435952 0.505239239474759 0.685463872738183 0 0.935006272280589 -0.655748603033705
1 18 1 0.4602822395134 23.589306926704 0.866119133803122 0.4602822395134 0.134090673434548 0.554587480053306 1 0.805163258221 -1.68505125263565
1 20 1 -1.05454220375038 3.71141784794163 0.0293729854747653 -1.05454220375038 0.316468411874957 0.212152999453247 0 0.969110328471288 0.574125720968606
1 26 1 -0.572085593274525 38.9282647791784 0.0644288158181092 -0.572085593274525 0 0.758537490293384 1 0.950599861796945 2.17925414616596
0 29 0 -0.292122625724144 22.5031476502772 0.234946529987856 -0.292122625724144 0 0.00317213013768196 0 0.926444243174046 -1.41492117063237
