Ex1a Ex1b Ex1c Ex2 Ex3 Ex4
35 9 0 0.228080027922988 0.584335860796273 C
35 7 16 0.67713223021842 0.537523874407634 C
34 5 10 0.191988609706599 0.0943296570563689 C
33 4 20 0.63460896980382 0.0968986759195104 C
36 5 20 0.727690364999725 0.0461229162756354 B
40 8 20 0.227676152810454 -0.396582268388011 C
46 6 0 0.0804290313273668 0.469306312641129 C
45 8 4 0.212543897356836 0.522001625038683 C
53 5 12 1.43991095118954 -0.157833747193217 B
42 3 17 2.73522376404671 0.0909553953912109 C
39 6 9 0.733729812469254 0.216440810216591 B
35 17 20 0.409069290757179 0.133958197105676 B
32 10 10 0.987499996887594 -0.34839157583192 B
37 7 0 0.0186883913908629 -0.20128667561803 A
34 11 14 0.00450816533850524 -0.355624832073227 C
49 13 1 0.645633526112805 -0.262384634208865 B
46 16 12 2.46431751237778 0.158524105791003 B
31 3 17 0.294402132183313 -0.334954015538096 C
36 8 18 0.506275591499156 0.348753896355629 D
34 7 0 0.10324716642499 0.549579869722947 D
40 4 5 0.450707628950477 0.241937408689409 A
31 19 0 0.950207822736273 -0.374404826643877 B
38 7 8 0.234136860349723 0.526489639515057 B
39 8 0 1.04821968969322 -0.136885975580663 C
33 13 13 1.54538978480532 0.0904994019772857 B
40 7 0 0.55537648659071 0.498566732089966 D
31 14 7 0.286667941510677 0.50072761955671 C
37 7 11 1.71525026698759 0.538548189215362 B
44 11 16 1.59877596341803 0.555803144350648 B
48 10 6 2.09206329127005 0.289058903697878 B
39 2 1 0.513429823865123 0.0496972634922713 B
37 9 11 0.42137730901403 0.141428638296202 B
37 11 8 0.0168776464519082 -0.189299301803112 A
28 6 8 0.0443680768302538 -0.151076792250387 D
30 16 2 0.421457635238767 -0.0999672121601179 C
28 5 16 1.70586055358103 0.411192978126928 B
51 6 10 0.901077183637197 -0.318667345889844 B
38 6 20 0.501003165145345 -0.347224084753543 C
25 11 12 0.833621037717829 -0.369470878597349 B
30 5 7 0.0492289859801531 0.304711811291054 A
35 3 18 1.38804437362387 0.0653173168189824 C
42 5 20 1.48797791146471 0.150716447643936 A
38 20 3 0.569336897811463 0.505886329477653 C
48 8 8 0.594715156372557 -0.273841797700152 B
31 11 5 0.0735643382184207 0.443453145213425 B
50 12 20 3.28838228417521 0.25937088872306 C
46 10 19 0.0838986001908779 0.559118824079633 D
38 6 13 1.10845146101333 0.385669511184096 C
33 15 14 0.451051248990782 0.0449518934357911 B
36 7 19 1.12828480147554 0.187484166445211 D
35 5 0 0.556183042343626 -0.337002539052628 B
48 4 20 0.342770468443632 0.130624383268878 B
24 5 1 0.0555253367737464 -0.253818622999825 B
26 6 17 0.388656975701451 0.217712932359427 C
45 9 8 0.298558637499809 -0.220154548622668 C
41 4 3 1.26004608117773 0.0849163100123405 C
41 19 15 0.0883741211146116 0.00121702174656093 D
35 7 5 0.673583084464036 0.292598234117031 B
38 3 8 1.70243527536491 0.050205274973996 C
29 10 20 1.50227889262869 0.381863559549674 D
40 9 5 2.20175867815664 -0.264505726378411 D
38 15 15 0.66805461492754 -0.0930140901822597 B
26 13 6 0.917052347924481 0.0102993645938113 B
34 12 8 0.646350833740006 0.14534700200893 D
33 9 20 0.38693582935441 -0.221627701632679 C
24 10 20 1.03306938704468 0.308948003919795 D
41 13 0 2.42579812394051 0.521963611291721 B
29 13 17 0.524789295718074 -0.0836836452130229 A
26 9 11 0.404917728900909 0.503307086415589 B
34 4 20 0.216147370112401 0.0223445902112871 B
